Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
FS_10l_pb07f07,FS,10,pb07,8,13,y,n,y,y,0.029643375,0.87,0.59,0.75,0.4,0.67816092,0.862068966,0.32183908,0.540229885,0.459770115,
FS_10l_pb08f01,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.53,0.335,0.475,0.28,0.632075472,0.896226415,0.424528302,0.471698113,0.528301887,6.61
FS_10l_pb08f02,FS,10,pb08,9,15,y,y,y,y,0.029034226,0.585,0.4,0.53,0.195,0.683760684,0.905982906,0.239316239,0.666666667,0.333333333,
FS_10l_pb08f03,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.44,0.275,0.4,0.19,0.625,0.909090909,0.340909091,0.568181818,0.431818182,7.02
FS_10l_pb08f04,FS,10,pb08,9,15,y,y,y,y,0.029034226,0.59,0.415,0.495,0.385,0.703389831,0.838983051,0.491525424,0.347457627,0.652542373,
FS_10l_pb08f06,FS,10,pb08,9,15,n,y,y,y,0.029034226,0.57,0.32,0.495,0.225,0.561403509,0.868421053,0.263157895,0.605263158,0.394736842,
FS_10l_pb09f03,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.705,0.425,0.615,0.29,0.602836879,0.872340426,0.283687943,0.588652482,0.411347518,
FS_10l_pb09f04,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.67,0.54,0.64,0.48,0.805970149,0.955223881,0.671641791,0.28358209,0.71641791,
FS_10l_pb09f05,FS,10,pb09,2,7.5,y,y,y,y,0.019520885,0.625,0.41,0.49,0.33,0.656,0.784,0.312,0.472,0.528,4.06
FS_10l_pb09f06,FS,10,pb09,2,7.5,n,y,y,y,0.019520885,0.56,0.385,0.505,0.33,0.6875,0.901785714,0.491071429,0.410714286,0.589285714,4.61
